Taxpayer_ID,Revenue,Expenses,Tax_Liability,Tax_Paid,Late_Filings,Compliance_Violations,Industry,Profit,Tax_Compliance_Ratio,Audit_Findings,Risk_Label
1001,1116301.16,1032901.72,51856.33,50904.01,1,0,Retail,83399.44,0.98,1,Low
1002,1313501.35,1112434.25,66091.84,148310.2,0,1,Healthcare,201067.1,2.24,1,Low
1003,1160255.59,578405.18,61060.86,48250.68,0,1,Tech,581850.41,0.79,7,High
1004,1050995.12,1486955.0,50716.96,60390.11,2,1,Healthcare,-435959.88,1.19,9,Medium
1005,1299575.83,2121362.3,75716.27,129943.44,3,2,Healthcare,-821786.47,1.72,0,High
1006,864340.47,384947.15,63356.67,74295.71,1,1,Healthcare,479393.32,1.17,8,Medium
1007,1283200.99,699733.26,54753.25,70619.27,4,0,Tech,583467.73,1.29,4,High
1008,1039002.46,640804.05,26990.1,32109.35,1,2,Retail,398198.41,1.19,6,High
1009,1406260.58,503722.37,40482.13,44615.29,4,0,Finance,902538.21,1.1,1,High
1010,1292672.62,1592985.93,45226.94,48364.88,3,0,Tech,-300313.31,1.07,5,High
1011,1137500.23,1013154.64,61848.15,32150.75,0,0,Healthcare,124345.59,0.52,8,High
1012,429881.84,346224.18,21442.34,20865.71,3,0,Tech,83657.66,0.97,6,High
1013,2341207.78,1140637.4,196411.11,137737.24,1,0,Finance,1200570.38,0.7,4,Low
1014,1530951.09,448530.41,8613.37,4373.11,1,0,Manufacturing,1082420.68,0.51,2,Low
1015,1651942.14,591320.15,74229.52,75932.09,1,2,Retail,1060621.99,1.02,9,Medium
1016,1011563.59,917344.16,41326.07,42838.2,4,1,Finance,94219.43,1.04,7,High
1017,990810.31,913619.59,57972.79,64911.72,0,2,Manufacturing,77190.72,1.12,3,High
1018,918676.86,675017.97,66180.57,188953.61,2,0,Retail,243658.89,2.86,9,Medium
1019,657199.51,238785.57,62591.05,54022.43,0,2,Finance,418413.94,0.86,9,High
1020,1252932.82,751390.43,46210.78,75853.5,2,1,Healthcare,501542.39,1.64,8,Medium
1021,1585942.99,951118.7,78845.91,47462.05,4,2,Healthcare,634824.29,0.6,3,High
1022,1008575.35,848225.63,52329.02,88719.72,3,0,Finance,160349.72,1.7,8,High
1023,1330672.75,1461449.92,77426.84,106692.06,0,0,Tech,-130777.17,1.38,7,High
1024,980737.04,1049403.24,60935.13,110461.31,1,1,Retail,-68666.2,1.81,9,Low
1025,1286643.71,816389.81,62205.72,55287.07,0,1,Retail,470253.9,0.89,1,Low
1026,1217509.47,940323.96,32759.81,27839.32,0,2,Retail,277185.51,0.85,4,High
1027,1388607.99,240827.71,59858.0,52388.72,1,1,Retail,1147780.28,0.88,1,High
1028,833723.36,337048.88,54041.16,62203.55,4,2,Retail,496674.48,1.15,6,High
1029,870943.14,421690.08,57979.3,56105.38,0,1,Tech,449253.06,0.97,0,High
1030,1262902.07,906708.24,84546.74,119559.35,1,2,Finance,356193.83,1.41,2,High
1031,514492.99,551084.28,51057.68,42006.96,2,1,Retail,-36591.29,0.82,7,Medium
1032,796969.11,824040.28,38056.88,38495.41,4,2,Finance,-27071.17,1.01,2,High
1033,392790.76,198747.43,22537.43,20024.88,2,1,Retail,194043.33,0.89,3,High
